iter	Logloss
0	0.6466539926
1	0.6060897012
2	0.5707638893
3	0.5396974166
4	0.512601862
5	0.488866555
6	0.4676099009
7	0.4495817363
8	0.4339125459
9	0.4200404467
10	0.4077156063
11	0.3969034608
12	0.3875354785
13	0.3794420567
14	0.3721064752
15	0.3654242285
16	0.3599689214
17	0.3549289803
18	0.3504681027
19	0.3465091521
20	0.342987149
21	0.3397940326
22	0.3370062365
23	0.3345259496
24	0.3322089069
25	0.3301862955
26	0.3283270596
27	0.3266565822
28	0.3252403876
29	0.3239266243
30	0.3226747655
31	0.3215204877
32	0.3205151533
33	0.3196366172
34	0.3188490523
35	0.3180535532
36	0.317336254
37	0.3166738993
38	0.3160629955
39	0.3154670811
40	0.3148329818
41	0.3143281478
42	0.3138161264
43	0.3133566124
44	0.3129136088
45	0.3124559038
46	0.3120650177
47	0.3116915466
48	0.3113320982
49	0.310966894
50	0.3106383146
51	0.3102960778
52	0.3099706022
53	0.3096690566
54	0.3093388657
55	0.3090550841
56	0.3087349983
57	0.308450635
58	0.3081938525
59	0.3079214615
60	0.3076236302
61	0.3073603407
62	0.3070830493
63	0.3068349044
64	0.3065595946
65	0.3063058326
66	0.3060497479
67	0.3058053198
68	0.3055354452
69	0.3052996759
70	0.3050427733
71	0.3048277631
72	0.3045811422
73	0.3043392893
74	0.30408018
75	0.3038757685
76	0.3036615117
77	0.3034403656
78	0.3032142966
79	0.3029896041
80	0.3027593279
81	0.3025751728
82	0.3023424014
83	0.3021064158
84	0.3018544375
85	0.3016232881
86	0.3014126385
87	0.3012279804
88	0.301007877
89	0.3008177262
90	0.300596048
91	0.3003665886
92	0.3001318885
93	0.299894724
94	0.2996928392
95	0.2994968621
96	0.2992807283
97	0.2990637339
98	0.2988627684
99	0.2986563019
100	0.2984317894
101	0.2982174342
102	0.2980299605
103	0.297832376
104	0.2976106713
105	0.2973973354
106	0.2971972693
107	0.2970054486
108	0.2968158684
109	0.2966358605
110	0.2964372318
111	0.2962481186
112	0.2960681966
113	0.2958579792
114	0.2956588632
115	0.2954734519
116	0.2952712558
117	0.295091006
118	0.2948878616
119	0.2946992069
120	0.2944938725
121	0.2943204125
122	0.2941379256
123	0.2939570857
124	0.2937685471
125	0.2935844295
126	0.2934088779
127	0.2932207666
128	0.293040597
129	0.2928877812
130	0.2927114505
131	0.2925343611
132	0.2923510606
133	0.2921581743
134	0.2919925971
135	0.2918167325
136	0.2916124608
137	0.291417123
138	0.2912648802
139	0.2910810565
140	0.2909120822
141	0.2907372539
142	0.2905400334
143	0.2903626131
144	0.2901961484
145	0.2900260366
146	0.289840786
147	0.2896358006
148	0.2894647136
149	0.2892850619
150	0.2891324362
151	0.2889684008
152	0.2888085806
153	0.2886489961
154	0.2885007347
155	0.2883602949
156	0.2881982936
157	0.2880449299
158	0.2878731427
159	0.2877399805
160	0.2875715094
161	0.2874007913
162	0.2872467793
163	0.2871126185
164	0.2869663021
165	0.2867912296
166	0.2866292888
167	0.2864666469
168	0.2863156388
169	0.2861527716
170	0.2859823226
171	0.2858346965
172	0.2856962899
173	0.2855407816
174	0.2853993474
175	0.2852739777
176	0.2851239404
177	0.2849769569
178	0.2848205328
179	0.2846685346
180	0.2845186144
181	0.2843633572
182	0.2842150338
183	0.2840643843
184	0.2839170246
185	0.283767637
186	0.283630139
187	0.2834700348
188	0.2833333736
189	0.2831746165
190	0.2830409978
191	0.2828986221
192	0.2827867007
193	0.2826297325
194	0.2824764297
195	0.2823409667
196	0.2821844282
197	0.2820770472
198	0.2819485558
199	0.2818181326
200	0.2816835939
201	0.2815516145
202	0.2814166904
203	0.2812551223
204	0.2811012209
205	0.280976154
206	0.2808277072
207	0.2806965431
208	0.2805644739
209	0.2804293737
210	0.2802722262
211	0.2801291823
212	0.2799958639
213	0.2798760852
214	0.2797159739
215	0.2795793297
216	0.2794634504
217	0.2793521674
218	0.2792360225
219	0.2790828382
220	0.2789517426
221	0.2788367453
222	0.278702299
223	0.2785713398
224	0.2784315953
225	0.278308861
226	0.2781744893
227	0.2780560475
228	0.2779081602
229	0.2777703983
230	0.2776340516
231	0.2775412251
232	0.2774082267
233	0.2772987239
234	0.2771747308
235	0.2770698122
236	0.2769663947
237	0.2768323783
238	0.276721491
239	0.2766068969
240	0.2764948144
241	0.2763787053
242	0.276274608
243	0.2761581672
244	0.2760280693
245	0.2758972193
246	0.2757792257
247	0.2756674164
248	0.2755423691
249	0.2754181531
250	0.2752810875
251	0.275167359
252	0.2750517141
253	0.274947233
254	0.2748393444
255	0.2747386796
256	0.2746140332
257	0.2745154634
258	0.2743834215
259	0.2742877524
260	0.2741551269
261	0.2740476666
262	0.2739352609
263	0.2738049064
264	0.2737024191
265	0.2735907077
266	0.2734684585
267	0.2733548354
268	0.273251047
269	0.2731450339
270	0.2730386189
271	0.2729386542
272	0.2728193806
273	0.27267834
274	0.2725547187
275	0.2724402454
276	0.2723386808
277	0.2722308798
278	0.2721139928
279	0.2719986044
280	0.2718917723
281	0.2717903904
282	0.2717004353
283	0.2715931335
284	0.2715055601
285	0.2714049452
286	0.2713018674
287	0.2711984365
288	0.2710916177
289	0.2709702208
290	0.2708543352
291	0.2707438231
292	0.270641343
293	0.2705191003
294	0.2704229434
295	0.2703109014
296	0.2702168273
297	0.2701178846
298	0.2699967078
299	0.2698822838
300	0.2697919073
301	0.2697002213
302	0.2696165588
303	0.269511809
304	0.2694003075
305	0.2693032087
306	0.2692095577
307	0.2691102889
308	0.2690218983
309	0.2689349177
310	0.2688288294
311	0.2687285352
312	0.2686379478
313	0.2685457963
314	0.2684499817
315	0.2683551178
316	0.268253271
317	0.2681645415
318	0.2680634155
319	0.2679859118
320	0.2679030297
321	0.2678092744
322	0.267721759
323	0.2676200033
324	0.2675064981
325	0.2674257328
326	0.2673228056
327	0.2672330982
328	0.2671311399
329	0.2670390613
330	0.2669439481
331	0.2668508875
332	0.2667572635
333	0.2666755298
334	0.2665724244
335	0.2664837757
336	0.2663758563
337	0.2662821783
338	0.2661696655
339	0.2660870595
340	0.2659982069
341	0.2659034208
342	0.2658120655
343	0.2657290699
344	0.2656312497
345	0.2655380926
346	0.265432142
347	0.2653478096
348	0.2652500675
349	0.2651602271
350	0.265086631
351	0.2649991041
352	0.2648946837
353	0.2648101624
354	0.2647195791
355	0.2646523992
356	0.2645483932
357	0.2644619183
358	0.2643742284
359	0.2642711723
360	0.2641625657
361	0.264055488
362	0.2639694374
363	0.2638745535
364	0.2637686397
365	0.2636988127
366	0.2635987178
367	0.2635127712
368	0.2634387694
369	0.2633551095
370	0.2632673393
371	0.2631793669
372	0.2630903494
373	0.262999029
374	0.2628897678
375	0.2628123164
376	0.2627313225
377	0.2626496963
378	0.262572222
379	0.262480914
380	0.2623942694
381	0.2623121712
382	0.2622167988
383	0.2621452219
384	0.2620561483
385	0.2619814097
386	0.2618993707
387	0.2618032126
388	0.261720596
389	0.26164414
390	0.2615593977
391	0.2614811764
392	0.2613878036
393	0.2613112595
394	0.2612275471
395	0.2611404644
396	0.2610566541
397	0.2609782789
398	0.2608975379
399	0.2607971351
400	0.2607079108
401	0.2606267055
402	0.260552969
403	0.2604749423
404	0.2603890877
405	0.2603150347
406	0.2602215943
407	0.260132869
408	0.2600426871
409	0.2599725213
410	0.2599021267
411	0.2598302297
412	0.2597424974
413	0.2596542309
414	0.2595625566
415	0.259485184
416	0.2593992245
417	0.2593237969
418	0.2592459045
419	0.2591792849
420	0.2591090637
421	0.2590142887
422	0.2589414054
423	0.2588685626
424	0.2587874743
425	0.2586983478
426	0.2586156144
427	0.258523195
428	0.2584502166
429	0.2583794579
430	0.2583126309
431	0.2582417708
432	0.2581786157
433	0.2581067407
434	0.2580368902
435	0.2579669782
436	0.2578842123
437	0.2578084571
438	0.2577208227
439	0.2576599636
440	0.2575865582
441	0.2575157457
442	0.2574519687
443	0.2573797445
444	0.2573067022
445	0.2572320868
446	0.2571473039
447	0.2570948635
448	0.2570306712
449	0.2569564344
450	0.2568839893
451	0.2568053936
452	0.2567298396
453	0.2566512026
454	0.2565852651
455	0.2565046094
456	0.2564463388
457	0.2563701952
458	0.2562800584
459	0.2562121822
460	0.2561404878
461	0.2560658124
462	0.255989471
463	0.2559002466
464	0.2558320473
465	0.255776256
466	0.2556974855
467	0.2556256331
468	0.2555586577
469	0.2554791922
470	0.2554015629
471	0.2553356186
472	0.2552733306
473	0.2552100222
474	0.2551268803
475	0.2550518428
476	0.2549814408
477	0.254912396
478	0.2548404051
479	0.2547619382
480	0.2546983333
481	0.2546262126
482	0.2545456352
483	0.2544758682
484	0.2544060253
485	0.2543371386
486	0.2542631912
487	0.2541945939
488	0.2541236974
489	0.2540460372
490	0.253969621
491	0.2539059507
492	0.2538393027
493	0.2537756309
494	0.2537002534
495	0.2536168228
496	0.2535535838
497	0.2534885774
498	0.2534151404
499	0.2533485078
500	0.2532808162
501	0.2531981462
502	0.2531390322
503	0.2530774665
504	0.2530172184
505	0.2529529083
506	0.2528680501
507	0.2528093832
508	0.2527309193
509	0.2526670922
510	0.2526051441
511	0.2525412233
512	0.25247139
513	0.2524054652
514	0.2523551486
515	0.2522807399
516	0.2522072149
517	0.252121944
518	0.252062964
519	0.2519812469
520	0.2519141686
521	0.2518415905
522	0.2517746922
523	0.2517170716
524	0.2516497969
525	0.2515819124
526	0.2515229847
527	0.2514384528
528	0.25137565
529	0.2513166281
530	0.2512527322
531	0.2511965614
532	0.2511361424
533	0.2510722109
534	0.2509986221
535	0.250948552
536	0.2508750979
537	0.250812596
538	0.2507505734
539	0.2506801264
540	0.2506244805
541	0.250559581
542	0.2505055739
543	0.2504489955
544	0.2503976292
545	0.2503311947
546	0.2502554317
547	0.2501835108
548	0.2501209226
549	0.2500569103
550	0.2499871355
551	0.2499216838
552	0.2498631449
553	0.2498057244
554	0.249755113
555	0.2496883353
556	0.2496194973
557	0.2495465877
558	0.2494813721
559	0.2494330848
560	0.249377333
561	0.2493199466
562	0.2492487209
563	0.2491805228
564	0.2491117447
565	0.2490552894
566	0.2489942967
567	0.2489170942
568	0.248861896
569	0.248803085
570	0.2487308297
571	0.2486804649
572	0.2486164239
573	0.2485603478
574	0.248503197
575	0.2484412015
576	0.2483751402
577	0.2483225935
578	0.2482633161
579	0.2481967795
580	0.2481324296
581	0.2480686856
582	0.2480194809
583	0.2479545247
584	0.2479021304
585	0.2478478065
586	0.2478013431
587	0.2477249612
588	0.2476621253
589	0.2475933429
590	0.2475427722
591	0.247489822
592	0.247420025
593	0.2473682996
594	0.2473243619
595	0.24728692
596	0.2472316201
597	0.2471731696
598	0.2471167642
599	0.2470649855
600	0.2470068089
601	0.2469494294
602	0.2468903047
603	0.2468360792
604	0.2467868189
605	0.2467205713
606	0.2466610511
607	0.2465982089
608	0.2465464035
609	0.2464924842
610	0.246431082
611	0.2463613871
612	0.2463205636
613	0.246259662
614	0.2462017443
615	0.2461402919
616	0.2460902177
617	0.2460283493
618	0.2459746407
619	0.2459170281
620	0.2458672485
621	0.2458180794
622	0.2457687763
623	0.2457031236
624	0.2456370818
625	0.245590889
626	0.2455292059
627	0.2454736463
628	0.2454249033
629	0.2453734731
630	0.2453085167
631	0.2452483892
632	0.2452018023
633	0.245140092
634	0.2450965754
635	0.245037225
636	0.2449920946
637	0.24494505
638	0.2448904045
639	0.2448368437
640	0.2447852063
641	0.2447419971
642	0.2446901207
643	0.2446268319
644	0.2445616845
645	0.2445173748
646	0.2444773948
647	0.2444303806
648	0.2443684482
649	0.2443120487
650	0.2442586825
651	0.2442066748
652	0.2441541926
653	0.2441055925
654	0.2440428627
655	0.2439958871
656	0.2439503797
657	0.2438984768
658	0.2438560134
659	0.2437961221
660	0.24374216
661	0.2436963428
662	0.2436314039
663	0.2435870378
664	0.2435276553
665	0.2434726428
666	0.2434160625
667	0.2433696613
668	0.2433078841
669	0.2432492791
670	0.2431928232
671	0.2431334993
672	0.2430909604
673	0.2430335415
674	0.2429842171
675	0.2429354635
676	0.2428899243
677	0.2428398358
678	0.2427831107
679	0.2427407464
680	0.2426964077
681	0.2426424307
682	0.2425918014
683	0.2425470595
684	0.2424987215
685	0.2424484877
686	0.2424027608
687	0.2423553771
688	0.2422992912
689	0.2422611109
690	0.2422150341
691	0.2421573489
692	0.2421010976
693	0.2420390928
694	0.2419900895
695	0.241944324
696	0.2419014848
697	0.2418538267
698	0.2418087064
699	0.2417627782
700	0.2417116664
701	0.2416591728
702	0.2416059446
703	0.241560284
704	0.2415149613
705	0.2414769483
706	0.241426727
707	0.2413673525
708	0.2413113406
709	0.2412698331
710	0.2412176325
711	0.2411733442
712	0.241134684
713	0.241091917
714	0.2410491524
715	0.2409938194
716	0.2409467238
717	0.2409002579
718	0.2408437832
719	0.2407911876
720	0.2407490352
721	0.2407019098
722	0.2406544798
723	0.2406148669
724	0.2405548846
725	0.2405106588
726	0.2404621898
727	0.2404134305
728	0.2403540632
729	0.2403055331
730	0.2402701975
731	0.2402310293
732	0.240183912
733	0.2401412788
734	0.240106841
735	0.2400588439
736	0.2400187279
737	0.2399645239
738	0.2399267734
739	0.2398790322
740	0.2398277289
741	0.2397829617
742	0.2397382258
743	0.2396932897
744	0.2396540191
745	0.239619094
746	0.2395806884
747	0.2395356275
748	0.239489016
749	0.2394494005
750	0.2394021177
751	0.2393576679
752	0.2393109422
753	0.2392713534
754	0.2392101141
755	0.2391612499
756	0.2391124231
757	0.2390582784
758	0.2390081078
759	0.2389632886
760	0.2389215882
761	0.2388884601
762	0.2388405657
763	0.2387995165
764	0.2387539678
765	0.2387153834
766	0.2386653422
767	0.2386251623
768	0.2385819988
769	0.2385422759
770	0.2384973528
771	0.2384422997
772	0.2383850716
773	0.2383446353
774	0.2382993432
775	0.2382575328
776	0.238221029
777	0.2381705541
778	0.2381270182
779	0.238079822
780	0.2380454335
781	0.237999411
782	0.237961626
783	0.2379207204
784	0.2378778831
785	0.2378353729
786	0.2377909745
787	0.2377344645
788	0.2376853054
789	0.2376395678
790	0.2376040523
791	0.2375685628
792	0.2375252566
793	0.2374853272
794	0.237440287
795	0.237395265
796	0.2373615197
797	0.2373184445
798	0.2372769315
799	0.2372339326
800	0.2371887272
801	0.2371479691
802	0.2371023342
803	0.2370608944
804	0.2370165022
805	0.2369702349
806	0.236931652
807	0.236888074
808	0.2368501557
809	0.2368019766
810	0.2367584447
811	0.2367148313
812	0.2366663078
813	0.2366169717
814	0.2365777795
815	0.2365388448
816	0.2365076632
817	0.236463375
818	0.2364297665
819	0.2363932299
820	0.2363478416
821	0.2363072877
822	0.2362549769
823	0.2362104072
824	0.2361725715
825	0.2361400785
826	0.2360945863
827	0.2360491873
828	0.2360092134
829	0.2359670068
830	0.2359314363
831	0.2359024623
832	0.2358569641
833	0.2358177303
834	0.2357841457
835	0.2357438481
836	0.2356948227
837	0.235652267
838	0.2356099439
839	0.2355696018
840	0.2355211016
841	0.2354831615
842	0.2354410495
843	0.2353969106
844	0.2353663127
845	0.2353202953
846	0.2352822565
847	0.2352477785
848	0.2351999994
849	0.2351506135
850	0.2351147621
851	0.2350789526
852	0.2350395442
853	0.2350008733
854	0.2349510462
855	0.2349147874
856	0.2348761369
857	0.2348319548
858	0.2347860555
859	0.2347519497
860	0.2347147541
861	0.2346761649
862	0.2346290268
863	0.2345883503
864	0.2345513651
865	0.2345074659
866	0.2344698997
867	0.2344326801
